SEASON KEY
41 = winter/spring
12 = spring/summer
23 = summer/fall
34 = fall  /winter

SAISON	YEAR	MONTH	DAY	HOUR	MINUTE	HOUROFFSET
41	1950	03	21	04	35 	0
41	1951	03	21	10	26 	0 
41	1952	03	20	16	14 	0
41	1953	03	20	22	01 	0
41	1954	03	21	03	53 	0
41	1955	03	21	09	35 	0
41	1956	03	20	15	20 	0
41	1957	03	20	21	16 	0
41	1958	03	21	03	06 	0
41	1959	03	21	08	54 	0
41	1960	03	20	14	43 	0
41	1961	03	20	20	32 	0
41	1962	03	21	02	30 	0
41	1963	03	21	08	20 	0
41	1964	03	20	14	10 	0
41	1965	03	20	20	05 	0
41	1966	03	21	02	53 	1
41	1967	03	21	08	37 	1
41	1968	03	20	14	22 	1
41	1969	03	20	20	08 	1
41	1970	03	21	01	56 	1
41	1971	03	21	07	38 	1
41	1972	03	20	13	22 	1
41	1973	03	20	19	12 	1
41	1974	03	21	01	07 	1
41	1975	03	21	06	57 	1
41	1976	03	20	11	50 	0
41	1977	03	20	18	42 	1
41	1978	03	21	00	33 	1
41	1979	03	21	06	22 	1
41	1980	03	20	12	10 	1
41	1981	03	20	17	03 	0
41	1982	03	20	22	56 	0
41	1983	03	21	04	39 	0
41	1984	03	20	10	24 	0
41	1985	03	20	16	14 	0
41	1986	03	20	22	03 	0
41	1987	03	21	03	52 	0
41	1988	03	20	09	39 	0
41	1989	03	20	15	28 	0
41	1990	03	20	21	19 	0
41	1991	03	21	03	02 	0
41	1992	03	20	08	48 	0
41	1993	03	20	14	41 	0
41	1994	03	20	20	28 	0
41	1995	03	21	02	14 	0
41	1996	03	20	08	03 	0
41	1997	03	20	13	55 	0
41	1998	03	20	19	55 	0
41	1999	03	21	01	46 	0
41	2000	03	20	07	35 	0
41	2001	03	20	13	31 	0
41	2002	03	20	19	16 	0
41	2003	03	21	01	00 	0
41	2004	03	20	06	49 	0
41	2005	03	20	12	34 	0
41	2006	03	20	18	25 	0
41	2007	03	21	00	07 	0
41	2008	03	20	05	48 	0
41	2009	03	20	11	44 	0
41	2010	03	20	17	32 	0
41	2011	03	20	23	21 	0
41	2012	03	20	05	15 	0
41	2013	03	20	11	02 	0
41	2014	03	20	16	57 	0
41	2015	03	20	22	45 	0

12	1950	06	22	00	36 	1
12	1951	06	22	06	25 	1
12	1952	06	21	12	13 	1
12	1953	06	21	18	00 	1
12	1954	06	21	23	54 	1
12	1955	06	22	05	31 	1
12	1956	06	21	11	24 	1
12	1957	06	21	17	20 	1
12	1958	06	21	22	57 	1
12	1959	06	22	04	50 	1
12	1960	06	21	10	42 	1
12	1961	06	21	16	30 	1
12	1962	06	21	22	24 	1
12	1963	06	22	04	04 	1
12	1964	06	21	09	57 	1
12	1965	06	21	15	56 	1
12	1966	06	21	21	33 	1
12	1967	06	22	03	23 	1
12	1968	06	21	09	13 	1
12	1969	06	21	14	55 	1
12	1970	06	21	20	43 	1
12	1971	06	22	02	20 	1
12	1972	06	21	08	06 	1
12	1973	06	21	14	01 	1
12	1974	06	21	19	38 	1
12	1975	06	22	01	26 	1
12	1976	06	21	07	24 	1
12	1977	06	21	13	14 	1
12	1978	06	21	19	10 	1
12	1979	06	22	00	56 	1
12	1980	06	21	06	47 	1
12	1981	06	21	12	45 	1
12	1982	06	21	18	23 	1
12	1983	06	22	00	09 	1
12	1984	06	21	06	02 	1
12	1985	06	21	11	44 	1
12	1986	06	21	17	30 	1
12	1987	06	21	23	11 	1
12	1988	06	21	04	57 	1
12	1989	06	21	10	53 	1
12	1990	06	21	16	33 	1
12	1991	06	21	22	19 	1
12	1992	06	21	04	14 	1
12	1993	06	21	10	00 	1
12	1994	06	21	15	48 	1
12	1995	06	21	21	34 	1
12	1996	06	21	03	24 	1
12	1997	06	21	09	20 	1
12	1998	06	21	15	03 	1
12	1999	06	21	20	49 	1
12	2000	06	21	02	48 	1
12	2001	06	21	08	38 	1
12	2002	06	21	14	24 	1
12	2003	06	21	20	10 	1
12	2004	06	21	01	57 	1
12	2005	06	21	07	46 	1
12	2006	06	21	13	26 	1
12	2007	06	21	19	06 	1
12	2008	06	21	00	59 	1
12	2009	06	21	06	46 	1
12	2010	06	21	12	28 	1
12	2011	06	21	18	17 	1
12	2012	06	21	00	09 	1
12	2013	06	21	06	04 	1
12	2014	06	21	11	51 	1
12	2015	06	21	17	38 	1


23	1950	09	23	15	44 	1
23	1951	09	23	21	37 	1
23	1952	09	23	03	24 	1
23	1953	09	23	09	06 	1
23	1954	09	23	14	55 	1
23	1955	09	23	20	41 	1
23	1956	09	23	02	35 	1
23	1957	09	23	08	26 	1
23	1958	09	23	14	09 	1
23	1959	09	23	20	08 	1
23	1960	09	23	01	59 	1
23	1961	09	23	07	42 	1
23	1962	09	23	13	35 	1
23	1963	09	23	19	23 	1
23	1964	09	23	01	17 	1
23	1965	09	23	07	06 	1
23	1966	09	23	12	43 	1
23	1967	09	23	18	38 	1
23	1968	09	23	00	26 	1
23	1969	09	23	06	07 	1
23	1970	09	23	11	59 	1
23	1971	09	23	17	45 	1
23	1972	09	22	23	33 	1
23	1973	09	23	05	21 	1
23	1974	09	23	10	58 	1
23	1975	09	23	16	55 	1
23	1976	09	22	22	48 	1
23	1977	09	23	04	29 	1
23	1978	09	23	10	26 	1
23	1979	09	23	16	16 	1
23	1980	09	22	22	09 	1
23	1981	09	23	04	05 	1
23	1982	09	23	09	46 	1
23	1983	09	23	15	42 	1
23	1984	09	22	21	33 	1
23	1985	09	23	03	08 	1
23	1986	09	23	08	59 	1
23	1987	09	23	14	45 	1
23	1988	09	22	20	29 	1
23	1989	09	23	02	20 	1
23	1990	09	23	07	56 	1
23	1991	09	23	13	48 	1
23	1992	09	22	19	43 	1
23	1993	09	23	01	22 	1
23	1994	09	23	07	19 	1
23	1995	09	23	13	13 	1
23	1996	09	22	19	00 	1
23	1997	09	23	00	56 	1
23	1998	09	23	06	37 	1
23	1999	09	23	12	31 	1
23	2000	09	22	18	28 	1
23	2001	09	23	00	04 	1
23	2002	09	23	05	55 	1
23	2003	09	23	11	47 	1
23	2004	09	22	17	30 	1
23	2005	09	22	23	23 	1
23	2006	09	23	05	03 	1
23	2007	09	23	10	51 	1
23	2008	09	22	16	44 	1
23	2009	09	22	22	19 	1
23	2010	09	23	04	09 	1
23	2011	09	23	10	05 	1
23	2012	09	22	15	49 	1
23	2013	09	22	21	44 	1
23	2014	09	23	03	29 	1
23	2015	09	23	09	20 	1

34	1950	12	22	10	13 	0
34	1951	12	22	16	00 	0
34	1952	12	21	21	43 	0
34	1953	12	22	03	31 	0
34	1954	12	22	09	24 	0
34	1955	12	22	15	11 	0
34	1956	12	21	20	59 	0
34	1957	12	22	02	49 	0
34	1958	12	22	08	40 	0
34	1959	12	22	14	34 	0
34	1960	12	21	20	26 	0
34	1961	12	22	02	19 	0
34	1962	12	22	08	15 	0
34	1963	12	22	14	02 	0
34	1964	12	21	19	50 	0
34	1965	12	22	01	40 	0
34	1966	12	22	07	28 	0
34	1967	12	22	13	16 	0
34	1968	12	21	20	00 	1
34	1969	12	22	01	44 	1
34	1970	12	22	07	36 	1
34	1971	12	22	12	24 	0
34	1972	12	21	18	13 	0
34	1973	12	22	00	08 	0
34	1974	12	22	05	56 	0
34	1975	12	22	11	46 	0
34	1976	12	21	17	35 	0
34	1977	12	21	23	23 	0
34	1978	12	22	05	21 	0
34	1979	12	22	11	10 	0
34	1980	12	21	16	56 	0
34	1981	12	21	22	51 	0
34	1982	12	22	04	38 	0
34	1983	12	22	10	30 	0
34	1984	12	21	16	23 	0
34	1985	12	21	22	08 	0
34	1986	12	22	04	02 	0
34	1987	12	22	09	46 	0
34	1988	12	21	15	28 	0
34	1989	12	21	21	22 	0
34	1990	12	22	03	07 	0
34	1991	12	22	08	54 	0
34	1992	12	21	14	43 	0
34	1993	12	21	20	26 	0
34	1994	12	22	02	23 	0
34	1995	12	22	08	17 	0
34	1996	12	21	14	06 	0
34	1997	12	21	20	07 	0
34	1998	12	22	01	56 	0
